code|niov|phuan|dienq|hvang|liio|zjew
11|幫|p|p|p|p|p
12|滂|ph|ph|p‘|p‘|p‘
13|並|b|b|b|b|b
14|明|m|m|m|m|m
21|端|t|t|t|t|t
22|透|th|th|t‘|t‘|t‘
23|定|d|d|d|d|d
24|泥|n|n|n|n|n
25|來|l|l|l|l|l
31|知|ʈ|ʈ| ȶ| ȶ| ȶ
32|徹|ʈh|ʈh| ȶ‘| ȶ‘| ȶ‘
33|澄|ɖ|ɖ|ȡ|ȡ|ȡ
34|娘|ɳ|ɳ|n|n|n
41|精|ʦ|ts|ts|ts|ts
42|清|ʦh|tsh|ts‘|ts‘|ts‘
43|從|ʣ|dz|dz|dz|dz
44|心|s|s|s|s|s
45|邪|z|z|z|z|z
51|莊|tʂ|tʃ|tʃ|tʃ|tʃ
52|初|tʂh|tʃh|tʃ‘|tʃ‘|tʃ‘
53|崇|dʐ|dʒ|dʒ|dʒ|dʒ
54|生|ʃ|ʃ|ʃ|ʃ|ʃ
55|俟|ʐ|ʒ|ʒ|ʒ|ʒ
61|章|tɕ|tɕ|tɕ|tɕ|tɕ
62|昌|tɕh|tɕh|tɕ‘|tɕ‘|tɕ‘
63|常|dʑ|dʑ|ʑ|ʑ|dʑ
64|書|ɕ|ɕ|ɕ|ɕ|ɕ
65|船|ʑ|ʑ|dʑ|dʑ|ʑ
66|日|ȵ|ȵ|ȵʑ|ȵ|ȵʑ
71|見|k|k|k|k|k
72|溪|kh|kh|k‘|k‘|k‘
73|群|ɡ|ɡ|ɡ|ɡ|ɡ
74|疑|ŋ|ŋ|ŋ|ŋ|ŋ
81|影|ʔ|ʔ||ʔ|ʔ
82|曉|h|h|x|x|x
83|匣|ɦ|ɦ|ɣ|ɣ|ɣ
84|云|ɦ|ɦ|ɣ|ɣ|ɣ
85|以|j|j|j||
